,Brand,Name,Price,Rank
169,JOSIE MARAN,Argan Infinity Cream Intensive Creamy Oil,28,4.5
144,KIEHL'S SINCE 1851,Ultra Facial Moisturizer,29,3.9
181,KIEHL'S SINCE 1851,Ultra Facial Cream SPF 30,29,4.2
6,DRUNK ELEPHANT,Virgin Marula Luxury Facial Oil,72,4.4
18,DRUNK ELEPHANT,Virgin Marula Luxury Facial Oil Mini,40,4.5
